Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
1.561201   341.669685   1008.009193   2191.138390   2977.425888
1.567451   343.540703   1044.508068   2232.472647   3030.760416
1.573701   346.834501   1096.452124   2272.634375   3131.004349
1.579951   370.616837   1141.779003   2182.826717   3072.461117
1.586201   375.425789   1230.470798   2172.431714   3122.452623
1.592451   379.348653   1260.833705   2184.415107   3431.900968
1.598701   381.522947   1231.776247   2199.023533   3353.112028
1.604951   366.990884   1330.315898   2171.740605   3522.445172
1.611201   383.371343   1342.256222   2239.456881   3512.163731
1.617451   394.486864   1358.921925   2300.641194   3266.959352
1.623701   369.159900   1396.915363   2583.604381   2717.300837
1.629951   362.865510   1403.774447   2307.507272   3089.012995
1.636201   364.043322   1395.881316   2347.623837   3257.232498
1.642451   349.540311   1373.278265   2503.022407   3344.205964
1.648701   348.775759   1346.743272   2468.602225   3147.754507
1.654951   358.229778   1361.422936   2397.966040   3460.199408
